,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
test_loss,0.692426323890686,0.6922751665115356,0.6926662921905518,0.6929029822349548,0.693072497844696,0.6926640868186951,0.6927253603935242,0.6927103400230408,0.6920892596244812,0.6930122375488281,0.6929502487182617,0.6925169825553894,0.6921884417533875,0.6921055316925049,0.6914398670196533,0.6905121207237244,0.6904741525650024,0.691038966178894,0.6916724443435669,0.6924779415130615,0.6925607323646545,0.6932867169380188,0.6931698322296143,0.6931354403495789,0.6930639147758484
accuracy,0.514295879142334,0.5140285147574889,0.5128383516430178,0.5125216091202168,0.5058597430003392,0.5103920255895261,0.5077181799488881,0.5070332165243572,0.5129431837570381,0.5081295413185266,0.5069217577286984,0.5058246707588225,0.5083337996033597,0.509203373271558,0.5132841089984199,0.5164238624314231,0.5202407748448264,0.5110765164411791,0.511315873648296,0.5058213998018001,0.5078670509395942,0.5054611404367754,0.5021141770839334,0.5031682498191239,0.5032833239857918
precision,0.5242983565107459,0.514015027768703,0.5136996698417517,0.5239136822173615,0.5023777235331345,0.5180694664089498,0.5054142186876539,0.5037252056119981,0.5076456277000213,0.5245070941588355,0.5047092927856479,0.5047451325701986,0.5067948097335206,0.5104116395874667,0.5071251913791073,0.5219009447466362,0.5187630879122291,0.5072610276249538,0.5060781517129337,0.50355833896737,0.5046344231199318,0.505663321585192,0.5009480549246765,0.5060398815606739,0.5014736641947138
recall,0.18210239747080004,0.40261689895767583,0.43904060716139076,0.25049168045453124,0.8407801364784918,0.2638250909741693,0.5416089174604111,0.8092647287424218,0.7515441186540489,0.15156880233223732,0.6032846047229269,0.4589216047578503,0.5349718330923775,0.343841059602649,0.6629950729581201,0.3171942604600448,0.46240524013466777,0.5876537092923743,0.606296183137002,0.6576587043405521,0.7156298454165296,0.4361244213432957,0.8318935191058927,0.2255758538522637,0.864105504587156
f1,0.2703167774736019,0.45154686513478864,0.4734449049542696,0.33893365154123145,0.6289494683108755,0.34961165240419767,0.5228859581070596,0.6209446564885496,0.6059739399293287,0.23517747782172696,0.5496119552333927,0.4807438863669644,0.5205022645559105,0.4108865658971057,0.5746785411800939,0.39457735707483194,0.48896557987467076,0.5445060047370123,0.5516726557593105,0.5703835069829306,0.5918905658727577,0.4683265951946377,0.6253337957343507,0.31205009089072916,0.6346408374443508
roc_auc,0.5202168306152712,0.5215339118328056,0.5177440983770831,0.5174657612767962,0.512647483499521,0.5172775299078253,0.5129271020702089,0.5128576717530864,0.5198078222517915,0.5175288806792476,0.5082174666826266,0.5093853594068165,0.5130897087945211,0.5156032039408622,0.5222583081684253,0.5269985904539214,0.5279826661449254,0.5187695591941688,0.518442027786186,0.5113704939515555,0.5138470028046681,0.5078500665378237,0.5025142662081734,0.5102587027363502,0.5078606703130476
gini_index,0.040433661230542484,0.04306782366561124,0.03548819675416626,0.03493152255359244,0.0252949669990421,0.034555059815650546,0.025854204140417725,0.025715343506172772,0.0396156445035829,0.035057761358495254,0.016434933365253146,0.018770718813633014,0.026179417589042187,0.031206407881724463,0.04451661633685067,0.05399718090784278,0.05596533228985079,0.03753911838833757,0.036884055572371954,0.022740987903111076,0.027694005609336214,0.015700133075647438,0.00502853241634682,0.020517405472700423,0.015721340626095204
