period,gbdt,xgboost,lightgbm,nn,rf,start_date,end_date
0,0.0300961325593196,0.0297762813992088,0.0269458894207959,0.0404336612305424,0.0250831924604517,1999-06-25,2000-06-20
1,0.0335868233188045,0.0353216391332178,0.0308265643196274,0.0430678236656112,0.0298169862549242,2000-06-21,2001-06-18
2,0.024686337329475,0.0253904939492444,0.0238949831689601,0.0354881967541662,0.0224536340135694,2001-06-19,2002-06-20
3,0.0209788589318857,0.0200074283360784,0.0230624039996174,0.0349315225535924,0.0220033542687201,2002-06-21,2003-06-18
4,0.0144540028090758,0.0192163737422512,0.0177402080497848,0.0252949669990421,0.0147021710595143,2003-06-19,2004-06-16
5,0.0211999768235617,0.0222717007194748,0.0238698813835933,0.0345550598156505,0.0217693785486983,2004-06-17,2005-06-13
6,0.0184787874848695,0.0160355210982263,0.0210191995972417,0.0258542041404177,0.0199961869290923,2005-06-14,2006-06-09
7,0.0163196239788512,0.0163722057402746,0.0175579555021827,0.0257153435061727,0.0167234946134304,2006-06-12,2007-06-08
8,0.0230893737604414,0.0251382184460913,0.026283070862032,0.0396156445035829,0.0287887234749548,2007-06-11,2008-06-05
9,0.0211271825577956,0.019764321282488,0.0221964071142497,0.0350577613584952,0.0216447478917283,2008-06-06,2009-06-03
10,0.0121724491981809,0.0134996589558278,0.0089604861983363,0.0164349333652531,0.0070716550945364,2009-06-04,2010-06-01
11,0.0187663702644478,0.0189179561754881,0.0186950028228749,0.018770718813633,0.0227443409418759,2010-06-02,2011-05-26
12,0.0191314155462436,0.0184421637185003,0.0172933955728078,0.0261794175890421,0.0151975455201918,2011-05-27,2012-05-23
13,0.0285627109065718,0.0245675784114414,0.0265969914781301,0.0312064078817244,0.0269394619368128,2012-05-24,2013-05-23
14,0.0333974282631261,0.0297423699001346,0.0314651903402662,0.0445166163368506,0.0297099696000406,2013-05-24,2014-05-21
15,0.0331233213160346,0.0328147008822417,0.0353581362651285,0.0539971809078427,0.0314826006721025,2014-05-22,2015-05-19
16,0.0358890840599257,0.0365030288698191,0.0346570606042249,0.0559653322898507,0.0340569006754107,2015-05-20,2016-05-16
17,0.0323026121278529,0.0348538781216987,0.0332773078332582,0.0375391183883375,0.0325598563591202,2016-05-17,2017-05-12
18,0.0269317670605584,0.0300888138714445,0.0289677993002521,0.0368840555723719,0.0287985861595843,2017-05-15,2018-05-10
19,0.017411635537768,0.0192175758497366,0.0193868970447979,0.022740987903111,0.018806549863864,2018-05-11,2019-05-09
20,0.0084879122101704,0.0130437686491935,0.0111784559204306,0.0276940056093362,0.0126085082043028,2019-05-10,2020-05-06
21,0.0111090448825408,0.0125738159262229,0.0114889848666148,0.0157001330756474,0.0137383860438202,2020-05-07,2021-05-04
22,-0.000366828723197,0.0021193599192605,-0.0019711010378051,0.0050285324163468,0.0027584480501805,2021-05-05,2022-04-29
23,0.0085664261241942,0.0059883644043541,0.0064727380462739,0.0205174054727004,0.00706780127637,2022-05-02,2023-04-28
24,0.0083132928979461,0.0096367772952756,0.0086657487799497,0.0157213406260952,0.0094980055737265,2023-05-01,2024-04-26
