,gbdt,rf,xgboost,lightgbm,nn
rtn_1,100.0,100.0,100.0,100.0,20.31405398755813
rtn_2,2.9038435452097193,0.5381670691831556,70.52256690207142,58.86931262152407,22.185474037216476
rtn_3,10.765003662572981,34.76538498187435,53.073154136024314,50.72208061437349,39.88263918463411
rtn_4,14.526421208085274,27.78063694187201,39.63113235954219,55.123528589697464,29.023152393085176
rtn_5,6.065539846351931,16.477039482983795,37.38851049157278,31.541125934668454,76.38894169703116
rtn_6,4.230911265191966,13.099526770312156,43.57658075338222,26.626095674794563,58.38297495018877
rtn_7,2.5388076469324274,8.058228706792024,17.372508641683126,16.58197457925236,49.14019471057001
rtn_8,6.0864148800881095,9.079236900583709,15.775866199651356,14.875403475958846,41.3968657452749
rtn_9,27.313907821733896,28.124022338619465,14.65849803748028,20.38282252369271,21.803121100197213
rtn_10,53.810246255405794,74.55289672593756,24.64033132967262,13.725076005945413,91.43264257456349
rtn_11,59.98438304627596,61.581555062850256,11.159943902129152,5.133003071629663,96.40078548362042
rtn_12,16.53557243765845,39.45497820918431,0.0,7.67964368765669,76.59808078642214
rtn_13,14.388802083144903,31.849970885662955,9.54866167335544,10.411337284112019,24.496293952059762
rtn_14,8.776221380408872,28.579305240545285,0.801226375352581,7.876638734378373,61.44464419664116
rtn_15,11.23769945012059,17.636715984358656,3.0978061403097636,4.289036734106836,29.33724030349455
rtn_16,0.7056099860957676,13.999910779337537,8.81912611206781,0.26365711764857014,77.42101617691257
rtn_17,4.384266224203974,10.30343705373942,8.894109380407247,3.4674140223811647,49.23225755962495
rtn_18,6.002125899425298,7.292909286568403,5.4301866783852715,6.3532721785124595,45.32839699309731
rtn_19,0.0,0.0,15.86833580150162,1.5635725025058702,100.0
rtn_20,5.746079818353774,1.2215772421141744,19.01662712476818,10.472992636546953,91.16895836728564
rtn_40,6.363308725338074,21.39796753353147,28.33733447689148,27.7648192393281,63.75298585874119
rtn_60,6.090221125690124,10.108329958554659,36.82155253541144,21.481280926669672,37.01251626
rtn_80,10.81343289147798,14.53188592517173,40.06410072190842,17.82397903601778,0.9637717612145975
rtn_100,42.31167902849126,63.64202245260031,26.19781684481471,14.17477875481502,77.48265682451677
rtn_120,22.041167492934136,38.854915283654144,7.485916699658302,10.95781353581236,0.0
rtn_140,18.273108222667606,28.451488455151505,14.228256656343166,6.196267289110928,58.10461910975037
rtn_160,5.489159984173657,12.516791527126538,3.6878473502036844,4.122512540338788,27.53555998217355
rtn_180,0.58872283738197,0.9630674815138367,8.014938686873421,0.0,44.60869543503489
rtn_200,2.153167607006232,1.614307325053739,22.263872349239524,6.896158970268812,80.16782011428138
rtn_220,4.876634809602952,10.583225989156219,26.655900173163708,4.21051204554909,12.771491763508159
rtn_240,14.033865439459142,42.441012898307946,34.9840986387484,26.92425748486279,23.99441007949678
